2ちゃんねる	にチャンネル
思い描く	おもいえがく
思い断つ	おもいたつ
思い斷つ	おもいたつ
思い暮す	おもいくらす
思い暮らす	おもいくらす
思い染める	おもいしめる
思い止どまる	おもいとどまる
思い止まる	おもいとどまる
思い止まる	おもいとまる
思い止まる	おもいとどまる
思い止る	おもいとまる
思い残す	おもいのこす
思い殘す	おもいのこす
思い比べる	おもいくらべる
思い沈む	おもいしずむ
思い浮かぶ	おもいうかぶ
思い浮かべる	おもいうかべる
思い浮ぶ	おもいうかぶ
思い浮べる	おもいうかべる
思い焦がれる	おもいこがれる
思い焦れる	おもいこがれる
思い煩う	おもいわずらう
思い留まる	おもいとどまる
思い當たる	おもいあたる
思い當る	おもいあたる
思い直す	おもいなおす
思い知らす	おもいしらす
思い知らせる	おもいしらせる
思い知る	おもいしる
思い立つ	おもいたつ
思い絕つ	おもいたつ
思い絶つ	おもいたつ
思い続ける	おもいつづける
思い續ける	おもいつづける
思い置く	おもいおく
思い耽ける	おもいふける
思い耽る	おもいふける
思い至る	おもいいたる
思い見る	おもいみる
思い見る	おもんみる
思い見る	おもいみる
思い設ける	おもいもうける
思い詰める	おもいつめる
思い誤る	おもいあやまる
思い起こす	おもいおこす
思い起す	おもいおこす
思い込む	おもいこむ
思い返す	おもいかえす
思い迫る	おもいせまる
思い迷う	おもいまよう
思い過ごす	おもいすごす
思い過す	おもいすごす
思い違い	おもいちがい
思い違いをする	おもいちがいをする
思い違う	おもいちがう
思い違える	おもいちがえる
思い遣られる	おもいやられる
思い遣る	おもいやる
思い頹れる	おもいくずれる
思い頽れる	おもいくずれる
思う	おもう
思うつぼにはまる	おもうつぼにはまる
思うに任せない	おもうにまかせない
思うらぶる	おもいうらぶる
思う仲の小諍い	おもうなかのこいさかい
思う壷にはまる	おもうつぼにはまる
思う壺にはまる	おもうつぼにはまる
思う念力岩をも通す	おもうねんりきいわをもとおす
思う念力嵒をも通す	おもうねんりきいわをもとおす
思う念力嵓をも通す	おもうねんりきいわをもとおす
思えらく	おもえらく
思える	おもえる
思く	おもほさく
思こなす	おもいこなす
思しい	おぼしい
思しめす	おぼしめす
思し召す	おぼしめす
思し寄る	おぼしよる
思し消つ	おぼしけつ
思す	おぼす
思ってもいない	おもってもいない
思ってもみない	おもってもみない
思っても見ない	おもってもみない
思なぐる	おもいなぐる
思はふ	おもはう
思はふ	おもわう
思はゆ	おもはゆ
思はゆ	もはゆ
思ひうらぶる	おもいうらぶる
思ひこなす	おもいこなす
思ひたゆたふ	おもいたゆたう
思ひづ	おもいず
思ひばか行かず	おもいばかいかず
思ひ上る	おもいのぼる
思ひ交はす	おもいかわす
思ひ休む	おもいやすむ
思ひ休らふ	おもいやすらう
思ひ伸ぶ	おもいのぶ
思ひ侘ぶ	おもいわぶ
思ひ侮る	おもいあなずる
思ひ倦む	おもいうむ
思ひ倦んず	おもいうんず
思ひ做す	おもいなす
思ひ健ぶ	おもいたけぶ
思ひ傅く	おもいかしずく
思ひ優す	おもいます
思ひ入る	おもいいる
思ひ兼ぬ	おもいかぬ
思ひ凖ふ	おもいよそう
思ひ出す	おもいいだす
思ひ出づ	おもいいず
思ひ分く	おもいわく
思ひ初む	おもいそむ
思ひ劣る	おもいおとる
思ひ励む	おもいはげむ
思ひ労く	おもいいたずく
思ひ勵む	おもいはげむ
思ひ包む	おもいつつむ
思ひ取る	おもいとる
思ひ咊む	おもいのどむ
思ひ和む	おもいのどむ
思ひ咽す	おもいむす
思ひ咽ぶ	おもいむせぶ
思ひ営む	おもいいとなむ
思ひ固む	おもいかたむ
思ひ塞く	おもいせく
思ひ増す	おもいます
思ひ增す	おもいます
思ひ宥む	おもいなだむ
思ひ宥らむ	おもいなだらむ
思ひ寄す	おもいよす
思ひ寄そふ	おもいよそう
思ひ屈す	おもいくっす
思ひ屈ず	おもいくんず
思ひ弛む	おもいたゆむ
思ひ弱る	おもいよわる
思ひ強る	おもいつよる
思ひ当つ	おもいあつ
思ひ後る	おもいおくる
思ひ念ず	おもいねんず
思ひ思ふ	おもいおもう
思ひ怠る	おもいおこたる
思ひ恋ふ	おもいこう
思ひ息む	おもいやすむ
思ひ惚く	おもいほく
思ひ惚る	おもいほる
思ひ惮る	おもいはばかる
思ひ慰む	おもいなぐさむ
思ひ憚る	おもいはばかる
思ひ懲る	おもいこる
思ひ懸く	おもいかく
思ひ戀ふ	おもいこう
思ひ成る	おもいなる
思ひ戯る	おもいたわる
思ひ扱ふ	おもいあつかう
思ひ捨つ	おもいすつ
思ひ掛く	おもいかく
思ひ掛る	おもいかかる
思ひ掟つ	おもいおきつ
思ひ撓む	おもいたわむ
思ひ放つ	おもいはなつ
思ひ敢ふ	おもいあう
思ひ敢へず	おもいあえず
思ひ散らす	おもいはぶらす
思ひ断つ	おもいたつ
思ひ旧る	おもいふる
思ひ明かす	おもいあかす
思ひ晴く	おもいはるく
思ひ晴るく	おもいはるく
思ひ暮る	おもいくる
思ひ朙かす	おもいあかす
思ひ朽つ	おもいくつ
思ひ果つ	おもいはつ
思ひ構ふ	おもいかまう
思ひ步く	おもいありく
思ひ歩く	おもいありく
思ひ死ぬ	おもいしぬ
思ひ沈む	おもいしずむ
思ひ沉む	おもいしずむ
思ひ流す	おもいながす
思ひ浮かる	おもいうかる
思ひ消す	おもいけす
思ひ消つ	おもいけつ
思ひ消ゆ	おもいきゆ
思ひ滞る	おもいとどこおる
思ひ滯る	おもいとどこおる
思ひ漂ふ	おもいただよう
思ひ澂ます	おもいすます
思ひ澄ます	おもいすます
思ひ濕る	おもいしめる
思ひ當つ	おもいあつ
思ひ疎む	おもいうとむ
思ひ疑ふ	おもいうたがう
思ひ病む	おもいやむ
思ひ直る	おもいなおる
思ひ睦ぶ	おもいむつぶ
思ひ砕く	おもいくだく
思ひ碎く	おもいくだく
思ひ移る	おもいうつる
思ひ積む	おもいつむ
思ひ競ふ	おもいきおう
思ひ篭む	おもいこむ
思ひ籠む	おもいこむ
思ひ紛ふ	おもいまがう
思ひ結ぼほる	おもいむすぼおる
思ひ結ぼる	おもいむすぼる
思ひ絕ゆ	おもいたゆ
思ひ絶ゆ	おもいたゆ
思ひ綴ぢむ	おもいとじむ
思ひ纏はす	おもいまつわす
思ひ纏はる	おもいまつわる
思ひ纒はす	おもいまつわす
思ひ置く	おもいおく
思ひ習ふ	おもいならう
思ひ育む	おもいはぐくむ
思ひ腐す	おもいくたす
思ひ苛る	おもいいらる
思ひ萎ゆ	おもいしなゆ
思ひ萎る	おもいしおる
思ひ見る	おもいみる
思ひ解く	おもいとく
思ひ解く	おもいほどく
思ひ解く	おもいとく
思ひ許す	おもいゆるす
思ひ誇る	おもいほこる
思ひ譲る	おもいゆずる
思ひ讓る	おもいゆずる
思ひ貶す	おもいおとす
思ひ賴む	おもいたのむ
思ひ越す	おもいこす
思ひ足らはす	おもいたらわす
思ひ踈む	おもいうとむ
思ひ辿る	おもいたどる
思ひ返る	おもいかえる
思ひ連ぬ	おもいつらぬ
思ひ過ぐ	おもいすぐ
思ひ過ぐす	おもいすぐす
思ひ過す	おもいすぐす
思ひ違ふ	おもいたがう
思ひ違ふ	おもいちがう
思ひ遣す	おもいおこす
思ひ醒す	おもいさます
思ひ醒ます	おもいさます
思ひ量る	おもいはかる
思ひ鎭まる	おもいしずまる
思ひ鎭む	おもいしずむ
思ひ鎮まる	おもいしずまる
思ひ鎮む	おもいしずむ
思ひ閇ぢむ	おもいとじむ
思ひ閉ぢむ	おもいとじむ
思ひ限る	おもいかぎる
思ひ隔つ	おもいへだつ
思ひ集む	おもいあつむ
思ひ離る	おもいはなる
思ひ零る	おもいこぼる
思ひ頹る	おもいくずおる
思ひ頼む	おもいたのむ
思ひ頽る	おもいくずおる
思ひ馴る	おもいなる
思ひ驕る	おもいおごる
思ひ﨤る	おもいかえる
思ひ侮る	おもいあなずる
思ふ	もう
思ふ思ふ	おもうおもう
思へらく	おもえらく
思へらく	おもへらく
思ほえず	おもほえず
思ほゆ	おもほゆ
思ほゆらく	おもほゆらく
思やる	おもやる
思わく	おもわく
思わく買い	おもわくがい
思わく違い	おもわくちがい
思わしい	おもわしい
思わしくない	おもわしくない
思わず	おもわず
思わずしらず	おもわずしらず
思わず知らず	おもわずしらず
思わせる	おもわせる
思わぬ	おもわぬ
思われる	おもわれる
思出す	おもいだす
思召す	おぼしめす
思惑買い	おもわくがい
思惑違い	おもわくちがい
思慮深い	しりょぶかい
思案に余る	しあんにあまる
思案に暮れる	しあんにくれる
思起す	おもいおこす
怠い	たるい
怠い	だるい
怠い	ダルい
怠い	だるい
怠く	なまく
怠ける	なまける
怠け者の足から鳥が起つ	なまけもののあしからとりがたつ
怠け者の足から鳥が起つ	なまけもののあしからとりがたつ
怠りなく	おこたりなく
怠り無い	おこたりない
怠り無く	おこたりなく
怠る	おこたる
急いては亊を仕損ずる	せいてはことをしそんずる
急いては事を仕損じる	せいてはことをしそんじる
急いては事を仕損ずる	せいてはことをしそんずる
急かす	せかす
急かせる	せかせる
急がし立つ	いそがしたつ
急がす	いそがす
急がず休まず	いそがずやすまず
急がせる	いそがせる
急きたてられる	せきたてられる
急きたてる	せきたてる
急き上げる	せきあげる
急き來る	せきくる
急き切る	せききる
急き来る	せきくる
急き立つ	せきたつ
急き立てる	せきたてる
急き込む	せきこむ
急ぎ果つ	いそぎはつ
急ぎ満つ	いそぎみつ
急ぎ立つ	いそぎたつ
急く	せく
急ぐ	いそぐ
急めく	いそめく
急を救う	きゅうをすくう
急を要する	きゅうをようする
急場をしのぐ	きゅうばをしのぐ
急場を凌ぐ	きゅうばをしのぐ
急度めく	きっとめく
急所を突く	きゅうしょをつく
急立てる	せきたてる
急込む	せきこむ
性合い	しょうあい
性懲りもない	しょうこりもない
性懲りもなく	しょうこりもなく
性懲りも無い	しょうこりもない
性懲りも無く	しょうこりもなく
性格が悪い	せいかくがわるい
性格悪い	せいかくわるい
性的区別のない	せいてきくべつのない
性的区別の無い	せいてきくべつのない
怨しい	うらめしい
怨じる	えんじる
怨ず	えず
怨ず	ゑんず
怨ずる	えんずる
怨みがましい	うらみがましい
怨みを買う	うらみをかう
怨む	うらむ
怨めしい	うらめしい
怪がる	あやしがる
怪しい	あやしい
怪しからず	けしからず
怪しからぬ	けしからぬ
怪しかる	けしかる
怪しばむ	あやしばむ
怪しぶ	あやしぶ
怪しむ	あやしむ
怪たる	けしたる
怪ない	けしからない
怪む	あやむ
怪気炎をあげる	かいきえんをあげる
怪気炎を上げる	かいきえんをあげる
怯える	おびえる
怯え上がる	おびえあがる
怯え上る	おびえあがる
怯ます	ひるます
怯む	ひるむ
怯ゆ	おびゆ
怯れる	おくれる
怺える	こたえる
怺える	こらえる
怺ふ	こらう
恃む	たのむ
恋いこがれる	こいこがれる
恋いる	こいる
恋い乱る	こいみだる
恋い初める	こいそめる
恋い忍ぶ	こいしのぶ
恋い慕う	こいしたう
恋い暮らす	こいくらす
恋い焦がれる	こいこがれる
恋い焦れる	こいこがれる
恋い籠る	こいこもる
恋う	こう
恋がる	こいしがる
恋く	こいしけく
恋こがれる	こいこがれる
恋しい	こいしい
恋しがる	こいしがる
恋しけく	こいしけく
恋する	こいする
恋ひ乱る	こいみだる
恋ひ余る	こいあまる
恋ひ侘ぶ	こいわぶ
恋ひ思ふ	こいもう
恋ひ恨む	こいうらむ
恋ひ明かす	こいあかす
恋ひ止む	こいやむ
恋ひ死ぬ	こいしぬ
恋ひ渡る	こいわたる
恋ひ痩す	こいやす
恋ふらく	こうらく
恋らく	こうらく
恋わずらい	こいわずらい
恋をする	こいをする
恋初める	こいそめる
恋占い	こいうらない
恋慕う	こいしたう
恋焦がれる	こいこがれる
恋焦れる	こいこがれる
恋煩い	こいわずらい
恋知らず	こいしらず
恋震い	こいぶるい
恍く	とぼく
恍ける	とぼける
恍る	ほる
恍れる	ほれる
恐い	かしこい
恐い	こわい
恐おののく	おそれおののく
恐がる	こわがる
恐がる	おそろしがる
恐がる	こわがる
恐げ立つ	こわげだつ
恐らく	おそらく
恐らしい	こわらしい
恐る	おそる
恐るるにたりない	おそるるにたりない
恐るるに足りない	おそるるにたりない
恐る恐る	おそるおそる
恐れおののく	おそれおののく
恐れがある	おそれがある
恐れる	おそれる
恐れをなす	おそれをなす
恐れを成す	おそれをなす
恐れを知らない	おそれをしらない
恐れ入ります	おそれいります
恐れ入る	おそれいる
恐れ多い	おそれおおい
恐れ夛い	おそれおおい
恐れ戦く	おそれおののく
恐れ戰く	おそれおののく
恐れ気もなく	おそれげもなく
恐ろしい	おそろしい
恐入ます	おそれいります
恐入る	おそれいる
恐多い	おそれおおい
恐怖にとらわれる	きょうふにとらわれる
恐怖に囚われる	きょうふにとらわれる
恐怖に捉われる	きょうふにとらわれる
恐怖に捕らわれる	きょうふにとらわれる
恐怖に捕われる	きょうふにとらわれる
恐悦がる	きょうえつがる
恕す	じょす
恕する	じょする
恙う	つつまう
恙ない	つつがない
恙む	つつむ
恙無い	つつがない
恚く	ふつく
恠しい	あやしい
恠しう	けしゅう
恠しうはあらず	けしうはあらず
恠しからず	けしからず
恠しからぬ	けしからぬ
恠しかる	けしかる
恠しばむ	あやしばむ
恠しぶ	あやしぶ
恠しむ	あやしむ
恠む	あやむ
恣にする	ほしいままにする
恤む	めぐむ
恥かしい	はずかしい
恥かしがる	はずかしがる
恥がましい	はじがましい
恥がわしい	はじがわしい
恥しい	はずかしい
恥しむ	はじしむ
恥しめる	はじしめる
恥じがましい	はじがましい
恥じらい	はじらい
恥じらう	はじらう
恥じる	はじる
恥じ入る	はじいる
恥ずい	はずい
恥ずかしい	はずかしい
恥ずかしがる	はずかしがる
恥ずかしげもなく	はずずかしげもなく
恥ずかしめる	はずかしめる
恥ずか死ぬ	はずかしぬ
恥ぢしむ	はじしむ
恥ぢしらふ	はじしらう
恥ぢ交はす	はじかわす
恥ぢ赫く	はじかかやく
恥ぢ赫く	はじかがやく
恥づ	はず
恥も外聞もない	はじもがいぶんもない
恥も外聞も無い	はじもがいぶんもない
恥らい	はじらい
恥らう	はじらう
恥をかく	はじをかく
恥を曝す	はじをさらす
恥を雪ぐ	はじをすすぐ
恥入る	はじいる
恥知らず	はじしらず
恥赫く	はじかかやく
恥隱る	はじかくる
恨がましい	うらみがましい
恨しい	うらめしい
恨みがましい	うらみがましい
恨みに報ゆるに徳を以てす	うらみにむくゆるにとくをもってす
恨みに報ゆるに德を以てす	うらみにむくゆるにとくをもってす
恨みに報ゆるに悳を以てす	うらみにむくゆるにとくをもってす
恨みに報ゆるに𢛳を以てす	うらみにむくゆるにとくをもってす
恨みる	うらみる
恨みを晴らす	うらみをはらす
恨みを買う	うらみをかう
恨みを飮む	うらみをのむ
恨みを飲む	うらみをのむ
恨み侘ぶ	うらみわぶ
恨み骨膸に徹す	うらみこつずいにてっす
恨み骨髄に徹す	うらみこつずいにてっす
恨み骨髄に徹する	うらみこつずいにてっする
恨み骨髓に徹す	うらみこつずいにてっす
恨む	うらむ
恨めしい	うらめしい
恩がある	おんがある
恩がましい	おんがましい
恩が有る	おんがある
恩きせがましい	おんきせがましい
恩に着せる	おんにきせる
恩に着る	おんにきる
恩の腹は切らねど情の腹は切る	おんのはらはきらねどなさけのはらはきる
恩をあだで返す	おんをあだでかえす
恩を仇で返す	おんをあだでかえす
恩を売る	おんをうる
恩を﨤す	おんをかえす
恩寵を享ける	おんちょうをうける
恩寵を受ける	おんちょうをうける
恩恵を蒙る	おんけいをこうむる
恩恵を被る	おんけいをこうむる
恩着せがましい	おんきせがましい
恩知らず	おんしらず
恩著せがましい	おんきせがましい
恩返しをする	おんがえしをする
恭しい	うやうやしい
息う	いこう
息が切れる	いきがきれる
息が弾む	いきがはずむ
息が掛かる	いきがかかる
息が詰まる	いきがつまる
息が通う	いきがかよう
息が長い	いきがながい
息の根を止める	いきのねをとめる
息の根を止める	いきのね
息の長い	いきのながい
息まく	いきまく
息まふ	いきまう
息む	いきむ
息をひきとる	いきをひきとる
息をひそめる	いきをひそめる
息を付く	いきをつく
息を入れる	いきをいれる
息を凝らす	いきをこらす
息を吐く	いきをつく
息を吞む	いきをのむ
息を吹き返す	いきをふきかえす
息を呑む	いきをのむ
息を引き取る	いきをひきとる
息を弾ませる	いきをはずませる
息を殺す	いきをころす
息を繼ぐ	いきをつぐ
息を荒げる	いきをあらげる
息を詰める	いきをつめる
息を飲む	いきをのむ
息を飲むよう	いきをのむよう
息を殺す	いきをころす
息付く	いきつく
息卷く	いきまく
息吐く	いきつく
息吹く	いふく
息吹く	いぶく
息巻く	いきまく
息張る	いきばる
息急き切る	いきせききる
息急く	いきせく
息急切る	いきせききる
息籠る	いきごもる
息絕える	いきたえる
息絶える	いきたえる
息苦しい	いきぐるしい
息衝き余る	いきづきあまる
息衝く	いきづく
息詰まる	いきづまる
息詰む	いきづむ
息詰る	いきづまる
息込む	いきごむ
息遣い	いきづかい
恰好が付く	かっこうがつく
恰好つける	かっこうつける
恰好つける	かっこつける
恰好付ける	かっこうつける
恰好付ける	かっこつける
恵まれる	めぐまれる
恵み深い	めぐみぶかい
恵む	めぐむ
悄れる	しおれる
悄気る	しょげる
悄気込む	しょげこむ
悄気返る	しょげかえる
悄氣る	しょげる
悄氣込む	しょげこむ
悄氣返る	しょげかえる
悄氣﨤る	しょげかえる
悉く	ことごとく
悉す	しっす
悋気諍い	りんきいさかい
悍しい	おぞましい
悍ましい	おぞましい
悔い	くい
悔いる	くいる
悔いを千載に残す	くいをせんざいにのこす
悔い改める	くいあらためる
悔い返す	くいかえす
悔がる	くやしがる
悔しい	くちおしい
悔しい	くやしい
悔しがる	くやしがる
悔しぶ	くやしぶ
悔しむ	くやしむ
悔ふ	くう
悔む	くやむ
悔やしい	くちおしい
悔やしい	くやしい
悔やむ	くやむ
悔ゆ	くゆ
悔を千載に残す	くいをせんざいにのこす
悔改める	くいあらためる
悖る	もとる
悟りが早い	さとりがはやい
悟りを開く	さとりをひらく
悟り済す	さとりすます
悟り済ます	さとりすます
悟り澂ます	さとりすます
悟り澄ます	さとりすます
悟る	さとる
悠揚迫らず	ゆうようせまらず
悠揚迫らぬ	ゆうようせまらぬ
患い	うれい
患い	わずらい
患いつく	わずらいつく
患い付く	わずらいつく
患う	わずらう
患える	うれえる
患ふ	うれう
患付く	わずらいつく
患者を入れる	かんじゃをいれる
悦に入る	えつにいる
悦に入る	えつ
悦に入る	えつにいる
悦に浸る	えつにひたる
悦ばしい	よろこばしい
悦ばす	よろこばす
悦ばせる	よろこばせる
悦び勇む	よろこびいさむ
悦び勈む	よろこびいさむ
悦ぶ	よろこぶ
悩がる	なやましがる
悩ましい	なやましい
悩ましがる	なやましがる
悩ます	なやます
悩ませる	なやませる
悩みに悩む	なやみになやむ
悩みを抱える	なやみをかかえる
悩む	なやむ
悩む	やくさむ
悩む	なやむ
悩める	なやめる
悪い	にくい
悪い	わるい
悪いことはいわない	わるいことはいわない
悪いことは言わない	わるいことはいわない
悪い事はいわない	わるいことはいわない
悪い事は言わない	わるいことはいわない
悪い行い	わるいおこない
悪がる	わるがる
悪く	あしけく
悪くなる	わるくなる
悪く言う	わるくいう
悪しい	あしい
悪しからず	あしからず
悪しくす	あしくす
悪しみす	あしみす
悪たれる	あくたれる
悪たれを叩く	あくたれをたたく
悪っぽい	わるっぽい
悪てんがう	わるてんごう
悪てんごう	わるてんごう
悪びれる	わるびれる
悪ぶる	わるぶる
悪ぽい	あくっぽい
悪む	にくむ
悪らつ	あくらつ
悪を懲らす	あくをこらす
悪事千里を走る	あくじせんりをはしる
悪人は畳の上では死ねない	あくにんはたたみのうえではしねない
悪口を言う	わるくちをいう
悪口を言う	わるぐちをいう
悪口言い	わるくちいい
悪名は無名に勝る	あくみょうはむめいにまさる
悪名高い	あくみょうたかい
悪名高い	あくみょうだかい
悪名高い	あくめいたかい
悪名高い	あくめいだかい
悪商い	わるあきない
悪堅い	わるがたい
悪夢から覚める	あくむからさめる
悪強い	わるじい
悪影響を及ぼす	あくえいきょうをおよぼす
悪性狂い	あくしょうぐるい
悪怯る	わろびる
悪怯れる	わるびれる
悪怯れる	わろびれる
悪怯れる	わるびれる
悪戯っぽい	いたずらっぽい
悪戯ぽい	いたずらっぽい
悪所狂い	あくしょぐるい
悪所通い	あくしょがよい
悪所遣い	あくしょづかい
悪振る	わるぶる
悪気を回す	わるぎをまわす
悪物食い	あくものぐい
悪狂い	わるぐるい
悪臭い	わるくさい
悪臭を放つ	あくしゅうをはなつ
悪評がたつ	あくひょうがたつ
悪評が立つ	あくひょうがたつ
悪貨は良貨を駆逐する	あくかはりょうかをくちくする
悪貨は良貨を駆逐する	あっかはりょうかをくちくする
悪貨は良貨を駆逐する	りょうか
悪賢い	わるがしこい
悪運が強い	あくうんがつよい
悪酔い	わるえい
悪酔い	わるよい
悪銭身に付かず	あくせんみにつかず
悪魔払い	あくまばらい
悲く	かなしけく
悲しい	かなしい
悲しがる	かなしがる
悲しけく	かなしけく
悲しぶ	かなしぶ
悲しむ	かなしむ
悲嘆にくれる	ひたんにくれる
悲嘆に暮れる	ひたんにくれる
悲鳴を上げる	ひめいをあげる
悴く	かじく
悴ける	かじける
悴す	かす
悴せる	かせる
悴む	かじかむ
悶える	もだえる
悶ゆ	もだゆ
悸える	おびえる
悸く	こころつごく
悼み悲しむ	いたみかなしむ
悼む	いたむ
情がる	なさけがる
情が強い	じょうがこわい
情が移る	じょうがうつる
情が薄い	じょうがうすい
情けがる	なさけがる
情けない	なさけない
情けない	なっさけない
情けない	なさけない
情けは人のためならず	なさけはひとのためならず
情けは人の為ならず	なさけはひとのためならず
情けは人の爲ならず	なさけはひとのためならず
情けばむ	なさけばむ
情けぶ	なさけぶ
情けらしい	なさけらしい
情けをかける	なさけをかける
情けを交わす	なさけをかわす
情けを売る	なさけをうる
情けを掛ける	なさけをかける
情けを知る	なさけをしる
情けを賣る	なさけをうる
情け作る	なさけづくる
情け容赦なく	なさけようしゃなく
情け容赦無く	なさけようしゃなく
情け後る	なさけおくる
情け深い	なさけぶかい
情け無い	なさけない
情け無い	なっさけない
情け無い	なさけない
情け知らず	なさけしらず
情け立つ	なさけだつ
情に厚い	じょうにあつい
情に絆される	じょうにほだされる
情に脆い	じょうにもろい
情は人の為ならず	なさけはひとのためならず
情ばむ	なさけばむ
情らかしい	じょうらかしい
情を通じる	じょうをつうじる
情合い	じょうあい
情報漏えい	じょうほうろうえい
情報漏えい	じょうほうろうせつ
情報量が多い	じょうほうりょうがおおい
情報量の多い	じょうほうりょうのおおい
情深い	なさけぶかい
情無い	なさけない
情無い	なっさけない
情無がる	なさけながる
情理を尽くす	じょうりをつくす
情理を盡くす	じょうりをつくす
情知らず	なさけしらず
惑い	まどい
惑う	まどう
惑はかす	まどわかす
惑ひふためく	まどいふためく
惑ひ入る	まどいいる
惑ひ出づ	まどいいず
惑ひ合ふ	まどいあう
惑ひ步く	まどいありく
惑ひ歩く	まどいありく
惑ふためく	まどいふためく
惑わかす	まどわかす
惑わす	まどわす
惑わせる	まどわせる
惘る	あきる
惘れる	あきれる
惚ける	とぼける
惚ける	ほうける
惚ける	ほける
惚ける	ぼける
惚け痴る	ほけしる
惚け癡る	ほけしる
惚ほる	おぼほる
惚めく	とろめく
惚る	ほる
惚れっぽい	ほれっぽい
惚れる	ほれる
惚れ抜く	ほれぬく
惚れ拔く	ほれぬく
惚れ直す	ほれなおす
惚れ込む	ほれこむ
惚气る	のろける
惚気る	のろける
惚気る	ノロける
惚気る	ノロケる
惚気る	のろける
惚氣る	のろける
惚込む	ほれこむ
惜がる	あたらしがる
惜しい	おしい
惜しがる	おしがる
惜しけく	おしけく
惜しみない	おしみない
惜しみなく	おしみなく
惜しみ使い	おしみづかい
惜しみ無い	おしみない
惜しみ無く	おしみなく
惜しむ	おしむ
惜ふ	たばう
惜みなく愛は奪ふ	おしみなくあいはうばう
惜気もなく	おしげもなく
惟う	おもう
惟みる	おもいみる
惟みる	おもんみる
惟る	おもいみる
惠まれる	めぐまれる
惠む	めぐむ
惡い	にくい
惡い	わるい
惡がる	わるがる
惡しい	あしい
惡しからず	あしからず
惡しくす	あしくす
惡たれる	あくたれる
惡てんごう	わるてんごう
惡に強いは譱にも強い	あくにつよいはぜんにもつよい
惡に强いは善にも强い	あくにつよいはぜんにもつよい
惡ぶ	わるぶ
惡ぶ	わろぶ
惡ぶる	わるぶる
惡む	にくむ
惡るい	わるい
惡亊千里を行く	あくじせんりをゆく
惡亊千里を赱る	あくじせんりをはしる
惡事千里を行く	あくじせんりをゆく
惡事千里を走る	あくじせんりをはしる
惡堅い	わるがたい
惡夢から覺める	あくむからさめる
惡強い	わるじい
惡怯る	わろびる
惡怯れる	わるびれる
惡怯れる	わろびれる
惡態をつく	あくたいをつく
惡所狂い	あくしょぐるい
惡所通い	あくしょがよい
惡梦から覺める	あくむからさめる
惡气を囘す	わるぎをまわす
惡氣を囘す	わるぎをまわす
惡氣を回す	わるぎをまわす
惡物食い	あくものぐい
惡貨は良貨を駈逐する	あっかはりょうかをくちくする
惡貨は良貨を驅逐する	あっかはりょうかをくちくする
惡賢い	わるがしこい
惡贒い	わるがしこい
惡醉い	わるよい
惡錢身につかず	あくせんみにつかず
惡魔拂い	あくまばらい
惡臭い	わるくさい
惨い	むごい
惨い	ムゴい
惨い	むごい
惨たらしい	むごたらしい
惨らしい	むごらしい
惨状を極める	さんじょうをきわめる
惮る	はばかる
惰る	おこたる
惰眠を貪る	だみんをむさぼる
惰眠を貪る	だみん
惰眠を貪る	だみんをむさぼる
惱ましい	なやましい
惱ます	なやます
惱む	なやむ
惱む	やくさむ
惱める	なやめる
想い	おもい
想いこがれる	おもいこがれる
想いをよせる	おもいをよせる
想いを寄せる	おもいをよせる
想いを遂げる	おもいをとげる
想い到る	おもいいたる
想い焦がれる	おもいこがれる
想い焦れる	おもいこがれる
想い至る	おもいいたる
想う	おもう
想を練る	そうをねる
想像しにくい	そうぞうしにくい
想像し難い	そうぞうしにくい
想像に任せる	そうぞうにまかせる
想像に難くない	そうぞうにかたくない
想像を絕する	そうぞうをぜっする
想像を絶する	そうぞうをぜっする
惶ぢ懼まる	おじかしこまる
惹かれる	ひかれる
惹きつける	ひきつける
惹き付ける	ひきつける
惹き起こす	ひきおこす
惹き起す	ひきおこす
惹く	ひく
愁い	うれい
愁う	うりょう
愁う	うれう
愁える	うれえる
愁ふ	うりょう
愁ふ	うれう
愁ふ	うれふ
愁眉を開く	しゅうびをひらく
愁眉を開く	しゅうび
愁眉を開く	しゅうびをひらく
愉しい	たのしい
愉しむ	たのしむ
愉快がる	ゆかいがる
意に介する	いにかいする
意に介する	い
意に介する	いにかいする
意に満たない	いにみたない
意に滿たない	いにみたない
意に適う	いにかなう
意を体する	いをたいする
意を尽くす	いをつくす
意を強くする	いをつよくする
意を決する	いをけっする
意を用いる	いをもちいる
意を迎える	いをむかえる
意を酌む	いをくむ
意を體する	いをたいする
意余って言葉足らず	いあまってことばたらず
意到りて筆隨う	いいたりてふでしたがう
意味あい	いみあい
意味がある	いみがある
意味がない	いみがない
意味が無い	いみがない
意味が通じる	いみがつうじる
意味が通らない	いみがとおらない
意味が通る	いみがとおる
意味する	いみする
意味づける	いみづける
意味ない	いみない
意味をなさない	いみをなさない
意味をなす	いみをなす
意味を取る	いみをとる
意味を成す	いみをなす
意味を捉える	いみをとらえる
意味付ける	いみづける
意味合い	いみあい
意味深い	いみぶかい
意味無い	いみない
意地が悪い	いじがわるい
意地が汚い	いじがきたない
意地が汚ない	いじがきたない
意地くね悪い	いじくねわるい
意地くね惡い	いじくねわるい
意地ずく	いじずく
意地ずく	いじづく
意地ずく	いじずく
意地尽く	いじずく
意地尽く	いじづく
意地張る	いじはる
意地張る	いじばる
意地悪い	いじわるい
意地惡い	いじわるい
